"measure","current_purpose","expression_sample","replacement_description"
"meas.getKPI2_value_sply","Returns a value derived from cal_end_dates[Date].","var max_date = [meas.context_date_max]              // get the selected max date","Returns KPI 2 raw value for the same period last year."
"meas.getKPI2Denominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and heatmap[meas.calc_hyp3_kpi2_denominator].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Helper measure that resolves the denominator component for KPI 2 scoring."
"meas.getKPI2Denominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Returns the denominator value used for KPI 2 score calculation."
"meas.getKPI2Nominator","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and heatmap[meas.calc_hyp3_kpi2_Nominator].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Helper measure that resolves the numerator component for KPI 2 scoring."
"meas.getKPI2Nominator_Value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])           // get the current hypothesis id","Returns the numerator value used for KPI 2 score calculation."
"meas.getKPI2Weight","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi2_weight].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Returns configured weight for KPI 2 used in combined heatmap scoring."
"meas.heatmap_booking_growth_rate","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","-- get the dates","Calculates booking growth rate used in heatmap performance analysis."
"meas.heatmap_combined_record_count_flag","Returns the measure value from its DAX expression.","var kpi1_flag = [meas.heatmap_kpi1_record_count_flag]           // kpi1 flag","Flags whether combined KPI record counts meet minimum quality thresholds."
"meas.heatmap_details_ai_model_score_validation","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for AI model score validation in the current selection."
"meas.heatmap_details_description","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_description].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for description in the current selection."
"meas.heatmap_details_getKPI1_denominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI1 denominator value in the current selection."
"meas.heatmap_details_getKPI1_nominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI1 nominator value in the current selection."
"meas.heatmap_details_getKPI1_Score_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI1 Score value in the current selection."
"meas.heatmap_details_getKPI1_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI1 value in the current selection."
"meas.heatmap_details_getKPI2_denominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI2 denominator value in the current selection."
"meas.heatmap_details_getKPI2_nominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI2 nominator value in the current selection."
"meas.heatmap_details_getKPI2_Score_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI2 Score value in the current selection."
"meas.heatmap_details_getKPI2_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for getKPI2 value in the current selection."
"meas.heatmap_details_growth_category","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_growth_category].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for growth category in the current selection."
"meas.heatmap_details_growth_category_base64","Returns a value derived from heatmap_graphics[_sys_base64] and heatmap_graphics[category].","var _category_name = [meas.heatmap_details_growth_category]      // get the growth category name","Returns heatmap detail metadata for growth category base64 in the current selection."
"meas.heatmap_details_growth_category_hypo_name","Returns the measure value from its DAX expression.","var _category = [meas.heatmap_details_growth_category]      // get the growth category name","Returns heatmap detail metadata for growth category hypo name in the current selection."
"meas.heatmap_details_hypothesis_confirmed","Returns the measure value from its DAX expression.","var _score = [meas.hypothesis_is_confirmed]         // get the is_confirmed status","Returns heatmap detail metadata for hypothesis confirmed in the current selection."
"meas.heatmap_details_hypothesis_id","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for hypothesis id in the current selection."
"meas.heatmap_details_kpi_report_location","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_ref].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for KPI report location in the current selection."
"meas.heatmap_details_kpi_screen","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi_screen].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for KPI screen in the current selection."
"meas.heatmap_details_kpi1_ai_score_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","var _name = MAX(metadata_heatmap_items[heatmap_kpi1_ai_score_name])","Returns heatmap detail metadata for kpi1 AI score name in the current selection."
"meas.heatmap_details_kpi1_calculation","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 calculation in the current selection."
"meas.heatmap_details_kpi1_def_short","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_def_short].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 def short in the current selection."
"meas.heatmap_details_kpi1_denominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_denominator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 denominator def in the current selection."
"meas.heatmap_details_kpi1_long_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_def_long].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 long def in the current selection."
"meas.heatmap_details_kpi1_max_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi1_max].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 max value in the current selection."
"meas.heatmap_details_kpi1_min_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi1_min].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 min value in the current selection."
"meas.heatmap_details_kpi1_nominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_numerator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 nominator def in the current selection."
"meas.heatmap_details_kpi1_reference_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi1_ref_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 reference value in the current selection."
"meas.heatmap_details_kpi1_score_calculation","Returns the measure value from its DAX expression.","var _ref_value = [meas.trueai_kpi1_ref_value]                       // get the ref value","Returns heatmap detail metadata for kpi1 score calculation in the current selection."
"meas.heatmap_details_kpi1_score_trend_calculation","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI1_score_cy]           // cy kpi 1 score","Returns heatmap detail metadata for kpi1 score trend calculation in the current selection."
"meas.heatmap_details_kpi1_standard_dev_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi1_std_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 standard dev value in the current selection."
"meas.heatmap_details_kpi1_value_trend","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI1_value_cy]                // get the current trend for kpi1","Returns heatmap detail metadata for kpi1 value trend in the current selection."
"meas.heatmap_details_kpi1_weight_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_weight].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 weight value in the current selection."
"meas.heatmap_details_kpi1_whats_better","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_whats_better].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi1 whats better in the current selection."
"meas.heatmap_details_kpi2_ai_score_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","var _name = MAX(metadata_heatmap_items[heatmap_kpi2_ai_score_name])","Returns heatmap detail metadata for kpi2 AI score name in the current selection."
"meas.heatmap_details_kpi2_calculation","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 calculation in the current selection."
"meas.heatmap_details_kpi2_def_short","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_def_short].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 def short in the current selection."
"meas.heatmap_details_kpi2_denominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_denominator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 denominator def in the current selection."
"meas.heatmap_details_kpi2_long_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_def_long].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 long def in the current selection."
"meas.heatmap_details_kpi2_max_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi2_max].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 max value in the current selection."
"meas.heatmap_details_kpi2_min_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi2_min].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 min value in the current selection."
"meas.heatmap_details_kpi2_nominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_numerator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 nominator def in the current selection."
"meas.heatmap_details_kpi2_reference_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi2_ref_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 reference value in the current selection."
"meas.heatmap_details_kpi2_score_calculation","Returns the measure value from its DAX expression.","var _ref_value = IF([meas.trueai_kpi2_ref_value]=BLANK(), ""--"", [meas.trueai_kpi2_ref_value])                       // get the ref value","Returns heatmap detail metadata for kpi2 score calculation in the current selection."
"meas.heatmap_details_kpi2_score_trend_calculation","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI2_score_cy]           // cy kpi 2 score","Returns heatmap detail metadata for kpi2 score trend calculation in the current selection."
"meas.heatmap_details_kpi2_standard_dev_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi2_std_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 standard dev value in the current selection."
"meas.heatmap_details_kpi2_value_trend","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI2_value_cy]                // get the current trend for kpi2","Returns heatmap detail metadata for kpi2 value trend in the current selection."
"meas.heatmap_details_kpi2_weight_value","Returns the measure value from its DAX expression.","var _weight = [meas.getKPI2Weight]","Returns heatmap detail metadata for kpi2 weight value in the current selection."
"meas.heatmap_details_kpi2_whats_better","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_whats_better].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for kpi2 whats better in the current selection."
"meas.heatmap_details_name","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_name].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for name in the current selection."
"meas.heatmap_details_score","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap detail metadata for score in the current selection."
"meas.heatmap_details_score_new","Returns the measure value from its DAX expression.","VAR _flag = [meas.heatmap_combined_record_count_flag]           // get the flag","Returns heatmap detail metadata for score new in the current selection."
"meas.heatmap_details_score_used_analysis","Returns the measure value from its DAX expression.","var _score = [meas.heatmap_details_score_new]               // get the score","Returns heatmap detail metadata for score used analysis in the current selection."
"meas.heatmap_details_score_w_na_nd","Returns the measure value from its DAX expression.","VAR _flag = [meas.heatmap_combined_record_count_flag]           // get the flag","Returns heatmap detail metadata for score w na nd in the current selection."
"meas.heatmap_kpi1_min_record_count","Returns a value derived from metadata_heatmap_items[col.kpi1_min_count].","MAX(metadata_heatmap_items[col.kpi1_min_count])","Returns minimum record threshold required for KPI 1 score reliability."
"meas.heatmap_kpi1_min_record_factor_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_min_factor].","MAX(metadata_heatmap_items[heatmap_kpi1_min_factor])","Returns metadata name of the minimum-record factor for KPI 1 validation."
"meas.heatmap_kpi1_record_count","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Returns record count currently used to calculate KPI 1."
"meas.heatmap_kpi1_record_count_flag","Returns the measure value from its DAX expression.","var _min_count = [meas.heatmap_kpi1_min_record_count]           // min record count","Flags whether KPI 1 has sufficient records for reliable scoring."
"meas.heatmap_kpi2_min_record_count","Returns a value derived from metadata_heatmap_items[col.kpi2_min_count] and metadata_heatmap_items[heatmap_kpi2_def_short].","var _min_count = MAX(metadata_heatmap_items[col.kpi2_min_count])","Returns minimum record threshold required for KPI 2 score reliability."
"meas.heatmap_kpi2_min_record_factor_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_min_factor].","MAX(metadata_heatmap_items[heatmap_kpi2_min_factor])","Returns metadata name of the minimum-record factor for KPI 2 validation."
"meas.heatmap_kpi2_record_count","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Returns record count currently used to calculate KPI 2."
"meas.heatmap_kpi2_record_count_flag","Returns the measure value from its DAX expression.","var _min_count = [meas.heatmap_kpi2_min_record_count]           // min record count","Flags whether KPI 2 has sufficient records for reliable scoring."
"meas.heatmap_rounded_score","Returns the measure value from its DAX expression.","VAR res  = MAX([meas.getHeatmapRawScore],0)     // get the raw score into rounded score with 5 step","Returns rounded heatmap score for cleaner visual display."
"meas.heatmap_trust_data_pi","Returns the measure value from its DAX expression.","// KPI1 Model Score + KPI2 AI Model Score / 2","Calculates data-trust indicator used to qualify heatmap score reliability."
"meas.how_kpi1_calculated","Returns the measure value from its DAX expression.","var _nominator = [meas.getKPI1Nominator]            // get nominator","Helper text measure that explains how KPI 1 is calculated and interpreted."
"meas.how_kpi1_component_considered","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_weight].","var _weight =MAX(metadata_heatmap_items[heatmap_kpi1_weight])          // get ghe weight","Helper text measure that explains how KPI 1 is calculated and interpreted."
"meas.how_kpi1_score_calculation","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi1_whats_better])           // get ghe what's better","Helper text measure that explains how KPI 1 is calculated and interpreted."
"meas.how_kpi2_calculated","Returns the measure value from its DAX expression.","var _nominator = [meas.getKPI2Nominator]            // get nominator","Helper text measure that explains how KPI 2 is calculated and interpreted."
"meas.how_kpi2_component_considered","Returns the measure value from its DAX expression.","var _nominator = [meas.getKPI2Nominator]            // get nominator","Helper text measure that explains how KPI 2 is calculated and interpreted."
"meas.how_kpi2_score_calculation","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_whats_better].","var _better = MAX(metadata_heatmap_items[heatmap_kpi2_whats_better])           // get ghe what's better","Helper text measure that explains how KPI 2 is calculated and interpreted."
"meas.hypothesis_final_score","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_weight].","//(Score 1 x Weighting 1)  + (Score 2 x Weighting 2) / (Score 1 + Score 2) = Final Score","Calculates final hypothesis score used to prioritize heatmap insights."
"meas.hypothesis_is_confirmed","Returns the measure value from its DAX expression.","var _score = [meas.heatmap_details_score_new]","Flags whether the selected hypothesis is currently confirmed."
"meas.hypothesis_is_confirmed_details","Returns the measure value from its DAX expression.","VAR _score = [meas.getHeatmapScore]         // Get the heatmap score","Returns detail text indicating whether the selected hypothesis is confirmed."
"meas.kpi_combined_score","Returns the measure value from its DAX expression.","var _trend_value1 = [meas.getKPI1_score_delta]","Calculates combined KPI score by applying configured KPI weights and trust adjustments."
"meas.kpi_combined_score_calculation","Returns the measure value from its DAX expression.","var _trend_value1 = [meas.getKPI1_score_delta]","Helper text measure describing combined KPI score calculation logic."
"meas.kpi_score_combined_text","Returns the measure value from its DAX expression.","var _trend_value1 = [meas.getKPI1_score_delta]","Returns display text for the combined KPI score."
"meas.KPI1_AI_score_bucket","Returns the measure value from its DAX expression.","VAR _score = [meas.kpi1_ai_score_trust_value]   -- 0-100 score","Returns bucketed category for KPI 1 AI score."
"meas.kpi1_ai_score_trust","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","var _score_name = MAX(metadata_heatmap_items[heatmap_kpi1_ai_score_name])            // get the AI Score name","Returns trust status for KPI 1 AI score quality."
"meas.kpi1_ai_score_trust_value","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","VAR _score_name =","Returns numeric trust factor for KPI 1 AI score."
"meas.kpi1_score_change_text","Returns the measure value from its DAX expression.","var TrendValue = [meas.getKPI1_score_delta]                     // get the improvemnet compared to cy","Returns descriptive text for KPI 1 score change versus comparison period."
"meas.kpi1_score_cy","Returns the measure value from its DAX expression.","var res  = CALCULATE(","Returns KPI 1 current-year score using the recent date window applied by heatmap trend logic."
"meas.kpi1_score_last_3_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI1_score_cy]","Calculates KPI 1 average score for the most recent three months."
"meas.kpi1_score_last_3_prior_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI1_score_sply]       // get the sply kpi score","Calculates KPI 1 average score for the prior three-month comparison window."
"meas.kpi1_value_delta_concatenated","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi1_whats_better]          // get the what's better value","Returns formatted KPI 1 value delta text for visual display."
"meas.kpi1_value_delta_top","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi1_whats_better]          // get the what's better","Returns top-line KPI 1 value delta for executive display."
"meas.KPI2_AI_score_bucket","Returns the measure value from its DAX expression.","VAR _score = [meas.kpi2_ai_score_trust_value]   -- 0-100 score","Returns bucketed category for KPI 2 AI score."
"meas.kpi2_ai_score_trust","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","var _score_name = MAX(metadata_heatmap_items[heatmap_kpi2_ai_score_name])            // get the AI Score name","Returns trust status for KPI 2 AI score quality."
"meas.kpi2_ai_score_trust_value","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","VAR _score_name =","Returns numeric trust factor for KPI 2 AI score."
"meas.kpi2_score_change_text","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_def_short].","var _kpi2_def = MAX(metadata_heatmap_items[heatmap_kpi2_def_short])","Returns descriptive text for KPI 2 score change versus comparison period."
"meas.kpi2_score_last_3_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI2_score_cy]","Calculates KPI 2 average score for the most recent three months."
"meas.kpi2_score_last_3_prior_month","Returns the measure value from its DAX expression.","var _score = [meas.getKPI2_score_sply]       // get the sply kpi score","Calculates KPI 2 average score for the prior three-month comparison window."
"meas.kpi2_value_delta_concatenated","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi2_whats_better]          // get the what's better value","Returns formatted KPI 2 value delta text for visual display."
"meas.kpi2_value_delta_top","Returns the measure value from its DAX expression.","var _better = [meas.heatmap_details_kpi2_whats_better]          // get the what's better","Returns top-line KPI 2 value delta for executive display."
"meas.loading","Returns the measure value from its DAX expression.","COUNTROWS(metadata_heatmap_items)","Helper measure used to control loading-state behavior in heatmap visuals."
"meas.stakeholder_num_flag","","var stakeholder_info = CALCULATE(","Flags stakeholder-count conditions used to validate heatmap scenario applicability."
"meas.trueai_kpi1_max","Returns a value derived from metadata_heatmap_items[col.kpi1_ref_value] and metadata_heatmap_items[col.kpi1_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi1_ref_value])         // get the ref","Returns configured maximum boundary for KPI 1 normalization."
"meas.trueai_kpi1_min","Returns a value derived from metadata_heatmap_items[col.kpi1_ref_value] and metadata_heatmap_items[col.kpi1_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi1_ref_value])          // get the ref","Returns configured minimum boundary for KPI 1 normalization."
"meas.trueai_kpi1_ref_value","Returns a value derived from metadata_heatmap_items[col.kpi1_ref_value].","MAX(metadata_heatmap_items[col.kpi1_ref_value])","Returns configured reference value for KPI 1 benchmarking."
"meas.trueai_kpi1_sd","Returns a value derived from metadata_heatmap_items[col.kpi1_std_value].","MAX(metadata_heatmap_items[col.kpi1_std_value])","Returns configured standard deviation factor for KPI 1 scoring."
"meas.trueai_kpi2_max","Returns a value derived from metadata_heatmap_items[col.kpi2_ref_value] and metadata_heatmap_items[col.kpi2_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi2_ref_value])          // get the ref","Returns configured maximum boundary for KPI 2 normalization."
"meas.trueai_kpi2_min","Returns a value derived from metadata_heatmap_items[col.kpi2_ref_value] and metadata_heatmap_items[col.kpi2_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi2_ref_value])          // get the ref","Returns configured minimum boundary for KPI 2 normalization."
"meas.trueai_kpi2_ref_value","Returns a value derived from metadata_heatmap_items[col.kpi2_ref_value].","MAX(metadata_heatmap_items[col.kpi2_ref_value])","Returns configured reference value for KPI 2 benchmarking."
"meas.trueai_kpi2_sd","Returns a value derived from metadata_heatmap_items[col.kpi2_std_value].","MAX(metadata_heatmap_items[col.kpi2_std_value])","Returns configured standard deviation factor for KPI 2 scoring."
"Measure_SVGArrow","Compute the measure result from the DAX expression and current filter context.","VAR _Value = ROUND([meas.kpi_combined_score]*100,0)          -- Get the value for the arrows to reflect","Compute the measure result from the DAX expression and current filter context."
"Measure_SVGArrow_KPIscore","Compute the measure result from the DAX expression and current filter context.","VAR _Value = ([meas.kpi_combined_score])          -- Get the value for the arrows to reflect","Compute the measure result from the DAX expression and current filter context."
