"measure","description"
"meas.users_weekly_prospecting_avg_dur_hr_ytd","Returns the average users weekly prospecting average duration hr year-to-date."
"meas.users_weekly_post_sales_avg_dur_hr_ytd","Returns the average users weekly post sales average duration hr year-to-date."
"meas.users_weekly_existing_customer_selling_avg_dur_hr_ytd","Returns the average users weekly existing customer selling average duration hr year-to-date."
"meas.users_weekly_internal_avg_dur_hr_ytd","Returns the average internal time-allocation value for year-to-date."
"meas.users_weekly_internal_avg_dur_hr_mtd_sply","Returns the average internal time-allocation value for month-to-date in the same period last year."
"meas.users_weekly_new_logo_avg_dur_hr_mtd_sply","Returns the average users weekly new logo average duration hr month-to-date same period last year."
"meas.users_weekly_prospecting_avg_dur_hr_mtd_sply","Returns the average users weekly prospecting average duration hr month-to-date same period last year."
"meas.users_weekly_post_sales_avg_dur_hr_mtd_sply","Returns the average users weekly post sales average duration hr month-to-date same period last year."
"meas.users_weekly_existing_customer_selling_avg_dur_hr_mtd_sply","Returns the average users weekly existing customer selling average duration hr month-to-date same period last year."
"meas.users_weekly_internal_avg_dur_hr_qtd_sply","Returns the average internal time-allocation value for quarter-to-date in the same period last year."
"meas.users_weekly_new_logo_avg_dur_hr_qtd_sply","Returns the average users weekly new logo average duration hr quarter-to-date same period last year."
"meas.users_weekly_prospecting_avg_dur_hr_qtd_sply","Returns the average users weekly prospecting average duration hr quarter-to-date same period last year."
"meas.users_weekly_post_sales_avg_dur_hr_qtd_sply","Returns the average users weekly post sales average duration hr quarter-to-date same period last year."
"meas.users_weekly_existing_customer_selling_avg_dur_hr_qtd_sply","Returns the average users weekly existing customer selling average duration hr quarter-to-date same period last year."
"meas.users_weekly_internal_avg_dur_hr_ytd_sply","Returns the average internal time-allocation value for year-to-date in the same period last year."
"meas.users_weekly_new_logo_avg_dur_hr_ytd_sply","Returns the average users weekly new logo average duration hr year-to-date same period last year."
"meas.users_weekly_prospecting_avg_dur_hr_ytd_sply","Returns the average users weekly prospecting average duration hr year-to-date same period last year."
"meas.users_weekly_post_sales_avg_dur_hr_ytd_sply","Returns the average users weekly post sales average duration hr year-to-date same period last year."
"meas.users_weekly_existing_customer_selling_avg_dur_hr_ytd_sply","Returns the average users weekly existing customer selling average duration hr year-to-date same period last year."
"meas.ssr_history_leads_updated","Returns the average leads updated where step is Lead Gen, step Prospecting."
"meas.ssr_history_mkt_leads_probability_of_conversion","Calculates mkt leads probability of conversion in the current reporting context."
"meas.ssr_history_sales_leads_probability_of_conversion_text","Calculates sales leads probability of conversion in the current reporting context."
"meas.ssr_history_duration_hrs_new_logo_sales_process_step","Summarizes duration hours new logo sales process step where step is New Logo Selling."
"meas.ssr_history_duration_hrs_prospecting_sales_process_step","Summarizes duration hours prospecting sales process step where step is Prospecting."
"meas.ssr_history_duration_hrs_post_sales_sales_process_step","Summarizes duration hours post sales sales process step where step is Post-Sales Support."
"meas.ssr_history_duration_hrs_existing_customer_selling_sales_process_step","Summarizes duration hours existing customer selling sales process step where step is Existing Customer Selling."
"meas.ssr_history_leads_probability_of_conversion_w_thresh","Calculates the number of leads probability of conversion w thresh where step is Lead Gen."
"meas.ssr_history_accts_per_rep_new_logo_prospecting","Calculates accounts per rep new logo prospecting in the current reporting context."
"meas.ssr_history_accts_per_rep_post_sales_existing_customer_selling","Calculates accounts per rep post sales existing customer selling in the current reporting context."
"meas.ssr_history_created_first_touched_age","Returns created first touched age."
"meas.ssr_history_total_adj_duration_hrs","Calculates total adjusted duration hours in the current reporting context."
"meas.ssr_history_target_engagement_rate","Calculates target engagement rate in the current reporting context."
"meas.ssr_history_last_engage_age_days","Calculates last engage age days in the current reporting context."
"meas.ssr_history_target_propensity","Calculates target propensity in the current reporting context."
"meas.ssr_target_acct_count","Calculates ssr target account count in the current reporting context."
"meas.ssr_history_target_acct_count_mtd","Returns target account count month-to-date."
"meas.ssr_history_target_acct_count_mtd_sply","Returns target account count month-to-date same period last year."
"meas.ssr_history_target_acct_count_qtd","Returns target account count quarter-to-date."
"meas.ssr_history_target_acct_count_qtd_sply","Returns target account count quarter-to-date same period last year."
"meas.ssr_history_target_acct_count_ytd","Returns target account count year-to-date."
"meas.ssr_history_target_acct_count_ytd_sply","Returns target account count year-to-date same period last year."
"meas.ssr_history_target_acct_count_mtd_sply_diff","Calculates target account count month-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_acct_count_qtd_sply_diff","Calculates target account count quarter-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_acct_count_ytd_sply_diff","Calculates target account count year-to-date same period last year difference in the current reporting context."
"meas.ssr_history_avg_pred_conv_rate_mtd","Returns the average average pred conv rate month-to-date."
"meas.ssr_history_avg_pred_conv_rate_mtd_sply","Returns the average average pred conv rate month-to-date same period last year."
"meas.ssr_history_avg_pred_conv_rate_qtd","Returns the average average pred conv rate quarter-to-date."
"meas.ssr_history_avg_pred_conv_rate_qtd_sply","Returns the average average pred conv rate quarter-to-date same period last year."
"meas.ssr_history_avg_pred_conv_rate_ytd","Returns the average average pred conv rate year-to-date."
"meas.ssr_history_avg_pred_conv_rate_ytd_sply","Returns the average average pred conv rate year-to-date same period last year."
"meas.ssr_history_avg_pred_conv_rate_mtd_sply_diff","Calculates average pred conv rate month-to-date same period last year difference in the current reporting context."
"meas.ssr_history_avg_pred_conv_rate_qtd_sply_diff","Calculates average pred conv rate quarter-to-date same period last year difference in the current reporting context."
"meas.ssr_history_avg_pred_conv_rate_ytd_sply_diff","Calculates average pred conv rate year-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_acct_time_spent_mtd","Returns target account time spent month-to-date."
"meas.ssr_history_target_acct_time_spent_mtd_sply","Returns target account time spent month-to-date same period last year."
"meas.ssr_history_target_acct_time_spent_qtd","Returns target account time spent quarter-to-date."
"meas.ssr_history_target_acct_time_spent_qtd_sply","Returns target account time spent quarter-to-date same period last year."
"meas.ssr_history_target_acct_time_spent_ytd","Returns target account time spent year-to-date."
"meas.ssr_history_target_acct_time_spent_ytd_sply","Returns target account time spent year-to-date same period last year."
"meas.ssr_history_target_acct_time_spent_mtd_sply_dif","Returns target account time spent month-to-date same period last year dif."
"meas.ssr_history_target_acct_time_spent_qtd_sply_dif","Returns target account time spent quarter-to-date same period last year dif."
"meas.ssr_history_target_acct_time_spent_ytd_sply_dif","Returns target account time spent year-to-date same period last year dif."
"meas.ssr_history_target_acct_eng_time_spent_mtd","Returns target account eng time spent month-to-date."
"meas.ssr_history_total_adj_eng_duration_hrs","Calculates total adjusted eng duration hours in the current reporting context."
"meas.ssr_history_target_acct_eng_time_spent_mtd_sply","Returns target account eng time spent month-to-date same period last year."
"meas.ssr_history_target_acct_eng_time_spent_qtd","Returns target account eng time spent quarter-to-date."
"meas.ssr_history_target_acct_eng_time_spent_qtd_sply","Returns target account eng time spent quarter-to-date same period last year."
"meas.ssr_history_target_acct_eng_time_spent_ytd","Returns target account eng time spent year-to-date."
"meas.ssr_history_target_acct_eng_time_spent_ytd_sply","Returns target account eng time spent year-to-date same period last year."
"meas.ssr_history_target_acct_eng_time_spent_mtd_sply_dif","Returns target account eng time spent month-to-date same period last year dif."
"meas.ssr_history_target_acct_eng_time_spent_qtd_sply_dif","Returns target account eng time spent quarter-to-date same period last year dif."
"meas.ssr_history_target_acct_eng_time_spent_ytd_sply_dif","Returns target account eng time spent year-to-date same period last year dif."
"meas.ssr_history_target_converted_acct_count_mtd","Returns target converted account count month-to-date."
"meas.ssr_target_converted_acct_count","Calculates ssr target converted account count in the current reporting context."
"meas.ssr_history_target_converted_acct_count_mtd_sply","Returns target converted account count month-to-date same period last year."
"meas.ssr_history_target_converted_acct_count_qtd","Returns target converted account count quarter-to-date."
"meas.ssr_history_target_converted_acct_count_qtd_sply","Returns target converted account count quarter-to-date same period last year."
"meas.ssr_history_target_converted_acct_count_ytd","Returns target converted account count year-to-date."
"meas.ssr_history_target_converted_acct_count_ytd_sply","Returns target converted account count year-to-date same period last year."
"meas.ssr_history_target_converted_acct_count_mtd_sply_diff","Calculates target converted account count month-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_converted_acct_count_qtd_sply_diff","Calculates target converted account count quarter-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_converted_acct_count_ytd_sply_diff","Calculates target converted account count year-to-date same period last year difference in the current reporting context."
"meas.ssr_target_abandoned_acct_count","Calculates ssr target abandoned account count in the current reporting context."
"meas.ssr_history_target_abandoned_acct_count_mtd","Returns target abandoned account count month-to-date."
"meas.ssr_history_target_abandoned_acct_count_mtd_sply","Returns target abandoned account count month-to-date same period last year."
"meas.ssr_history_target_abandoned_acct_count_qtd","Returns target abandoned account count quarter-to-date."
"meas.ssr_history_target_abandoned_acct_count_qtd_sply","Returns target abandoned account count quarter-to-date same period last year."
"meas.ssr_history_target_abandoned_acct_count_ytd","Returns target abandoned account count year-to-date."
"meas.ssr_history_target_abandoned_acct_count_ytd_sply","Returns target abandoned account count year-to-date same period last year."
"meas.ssr_history_target_abandoned_acct_count_mtd_sply_diff","Calculates target abandoned account count month-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_abandoned_acct_count_qtd_sply_diff","Calculates target abandoned account count quarter-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_abandoned_acct_count_ytd_sply_diff","Calculates target abandoned account count year-to-date same period last year difference in the current reporting context."
"meas.ssr_target_disqualified_acct_count","Calculates ssr target disqualified account count in the current reporting context."
"meas.ssr_history_target_disqualified_acct_count_mtd","Returns target disqualified account count month-to-date."
"meas.ssr_history_target_disqualified_acct_count_mtd_sply","Returns target disqualified account count month-to-date same period last year."
"meas.ssr_history_target_disqualified_acct_count_qtd","Returns target disqualified account count quarter-to-date."
"meas.ssr_history_target_disqualified_acct_count_qtd_sply","Returns target disqualified account count quarter-to-date same period last year."
"meas.ssr_history_target_disqualified_acct_count_ytd","Returns target disqualified account count year-to-date."
"meas.ssr_history_target_disqualified_acct_count_ytd_sply","Returns target disqualified account count year-to-date same period last year."
"meas.ssr_history_target_disqualified_acct_count_mtd_sply_diff","Calculates target disqualified account count month-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_disqualified_acct_count_qtd_sply_diff","Calculates target disqualified account count quarter-to-date same period last year difference in the current reporting context."
"meas.ssr_history_target_disqualified_acct_count_ytd_sply_diff","Calculates target disqualified account count year-to-date same period last year difference in the current reporting context."
"meas.ssr_history_avg_adj_eng_duration_hrs","Calculates average adjusted eng duration hours in the current reporting context."
"meas.ssr_history_avg_adj_duration_hrs","Calculates average adjusted duration hours in the current reporting context."
"meas.ssr_history_avg_adj_non_eng_duration_hrs","Calculates average adjusted non eng duration hours in the current reporting context."
"meas.ssr_history_avg_opp_initial_booking_amt","Calculates average opportunity initial booking amount in the current reporting context."
"meas.ssr_history_avg_new_logo_won_amt","Calculates average new logo won amount in the current reporting context."
"meas.ssr_history_open_pipeline_count_eop_sply","Calculates open pipeline count eop same period last year in the current reporting context."
"meas.ssr_history_open_pipeline_win_rate_sply","Calculates open pipeline win rate same period last year in the current reporting context."
"meas.ssr_history_target_filter_screen","Returns target filter screen."
"meas.ssr_history_target_stkhlds_tot_count","Calculates target stakeholders total count in the current reporting context."
"meas.ssr_history_target_latest_outcome","Calculates target latest outcome in the current reporting context."
"meas.ssr_history_open_pipeline_success_count_eop","Calculates the number of open pipeline success count end of period for successful records."
"meas.ssr_history_step_count_sply_diff","Calculates the number of step count same period last year difference for successful records."
"meas.ssr_history_success_rate_sply_diff","Calculates success rate same period last year difference in the current reporting context."
"meas.ssr_history_won_amt_sply_diff","Calculates won amount same period last year difference in the current reporting context."
"meas.ssr_history_open_pipeline_success_rate","Calculates the number of open pipeline success rate for successful records."
"meas.ssr_history_reps_mtd","Returns reps month-to-date."
"meas.sales_booking_amt","Calculates sales booking amount in the current reporting context."
"meas.ssr_history_step_users_tot","Calculates step users total in the current reporting context."
"meas.ssr_history_total_all_dur_hrs","Summarizes total all duration hours."
"meas.ssr_history_step_success_prob","Calculates step success probability in the current reporting context."
"meas.ssr_history_step_owner_full_name_with_acl","Calculates step owner full name with acl in the current reporting context."
"meas.ssr_history_step_owner_avg_act_capt_lvl","Calculates step owner average act capt lvl in the current reporting context."
"meas.ssr_history_time_effort_src","Returns time effort src."
"meas.ssr_history_time_effort_conf","Calculates time effort confidence in the current reporting context."
"meas.ssr_history_failure_lost_stage_nd_count","Calculates the number of failure lost stage nd count."
"meas.ssr_history_mkt_leads_inbound","Calculates the number of mkt leads inbound where step is Lead Gen."
"meas.ssr_history_leads_dept_rate","Calculates the number of leads dept rate where step is Lead Gen."
"meas.ssr_history_leads_gen_vi_vc_rate","Summarizes leads generation vi vc rate where step is Lead Gen."
"meas.ssr_history_leads_touched_updated","Calculates leads touched updated in the current reporting context."
"meas.ssr_history_leads_touched_ratio_updated","Calculates leads touched ratio updated in the current reporting context."
"meas.ssr_history_inbound_leads_touched_avg_days","Calculates inbound leads touched average days in the current reporting context."
"meas.ssr_history_success_count_prospecting_inbound","Returns success count prospecting inbound."
"meas.ssr_history_success_rate_prospecting_inbound","Returns success rate prospecting inbound."
"meas.all_stkhlds_count","Summarizes all activities from stakeholders."
"meas.all_stkhlds_title","Helper measure used for internal label, formatting, or visual support behavior."
"meas.crm_currency","Redundant measure - slated for depreciation."
"meas.crm_name","Redundant measure - slated for depreciation."
"meas.opps_addr_location","Calculates addr location in the current reporting context."
"meas.opps_closed_date","Calculates closed date in the current reporting context."
"meas.opps_trueai_book_amt","Summarizes opportunities trueai book amount."
"meas.opps_trueai_sales_type","Redundant measure - slated for depreciation."
"meas.opps_trueai_stage","Redundant measure - slated for depreciation."
"meas.owner_full_name","Calculates owner full name in the current reporting context."
"meas.ssr_history_step_outcome","Redundant measure - slated for depreciation."
"meas.step_owner_group","Calculates step owner group in the current reporting context."
"meas.step_owner_user_role_aliased","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.step_users_total","Summarizes step users total."
"meas.stkhlds_all_contacts_count","Summarizes stakeholders all contacts count."
"meas.stkhlds_all_first_act","Redundant measure - slated for depreciation."
"meas.stkhlds_all_last_act","Redundant measure - slated for depreciation."
"meas.stkhlds_all_last_eng","Redundant measure - slated for depreciation."
"meas.stkhlds_primary_contact_card_title","Helper measure used for internal label, formatting, or visual support behavior."
"meas.stkhlds_primary_contact_first_act","Returns stakeholders primary contact first act."
"meas.stkhlds_primary_contact_first_eng","Redundant measure - slated for depreciation."
"meas.stkhlds_primary_contact_last_act","Redundant measure - slated for depreciation."
"meas.stkhlds_primary_contact_last_eng","Redundant measure - slated for depreciation."
"meas.stkhlds_primary_contact_seniority","Returns stakeholders primary contact seniority."
"meas.stkhlds_primary_contact_title_department","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.stkhlds_primary_contact_title_seniority","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.stkhlds_primary_full_name","Returns stakeholders primary full name."
"meas.stkhlds_seconary_contact_title","Helper measure used for internal label, formatting, or visual support behavior."
"meas.stkhlds_secondary_contact_card_title","Helper measure used for internal label, formatting, or visual support behavior."
"meas.stkhlds_secondary_contact_first_act","Redundant measure - slated for depreciation."
"meas.stkhlds_secondary_contact_first_eng","Redundant measure - slated for depreciation."
"meas.stkhlds_secondary_contact_last_act","Redundant measure - slated for depreciation."
"meas.stkhlds_secondary_contact_last_eng","Redundant measure - slated for depreciation."
"meas.stkhlds_secondary_contact_title_department","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.stkhlds_secondary_contact_title_seniority","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.tot_pushed_pulled_close_date","Redundant measure - slated for depreciation."
"meas.trueai_addr_city","Redundant measure - slated for depreciation."
"meas.trueai_addr_state","Redundant measure - slated for depreciation."
"meas.trueai_company_size","Redundant measure - slated for depreciation."
"meas.trueai_first_purchase","Redundant measure - slated for depreciation."
"meas.trueai_leadsource_name","Redundant measure - slated for depreciation."
"meas.trueai_potential_acv","Redundant measure - slated for depreciation."
"meas.trueai_propensity","Redundant measure - slated for depreciation."
"meas.opps_deals_lost_count","Calculates the number of closed-lost opportunities in the current reporting context."
"meas.opps_deals_won_count","Calculates the number of closed-won opportunities in the current reporting context."
"meas.ssr_history_opps_rev_avg_won_amt","Returns the average revenue average won amount."
"meas.ssr_history_opps_step_cycle_avg_success","Calculates step cycle average success in the current reporting context."
"meas.stkhlds_all_act_count","Summarizes all activities from stakeholders."
"meas.stkhlds_all_act_counts","Summarizes all activities from stakeholders."
"meas.stkhlds_all_act_email_count","Summarizes all emails from stakeholders."
"meas.stkhlds_all_act_eng_counts","Summarizes all activities from stakeholders."
"meas.stkhlds_all_act_eng_email_count","Summarizes all emails from stakeholders."
"meas.stkhlds_all_act_eng_meeting_count","Summarizes all meetings from stakeholders."
"meas.stkhlds_all_act_eng_social_count","Summarizes all social-channel activities from stakeholders."
"meas.stkhlds_all_act_meeting_count","Summarizes all meetings from stakeholders."
"meas.stkhlds_all_act_phone_calls","Summarizes all calls from stakeholders."
"meas.stkhlds_all_act_phone_eng_calls","Summarizes all calls from stakeholders."
"meas.stkhlds_all_act_social_count","Summarizes all social-channel activities from stakeholders."
"meas.stkhlds_all_eng_act_count","Redundant measure - slated for depreciation."
"meas.stkhlds_all_non_eng_counts","Calculates stakeholders all non eng counts in the current reporting context."
"meas.stkhlds_all_non_eng_email","Returns stakeholders all non eng email."
"meas.stkhlds_all_non_eng_meeting","Returns stakeholders all non eng meeting."
"meas.stkhlds_all_non_eng_phone_calls","Returns stakeholders all non eng phone calls."
"meas.stkhlds_all_non_eng_social_count","Returns stakeholders all non eng social count."
"meas.stkhlds_non_eng_act_counts","Returns stakeholders non eng act counts."
"meas.stkhlds_secondary_full_name","Returns stakeholders secondary full name."
"meas.tot_lost_amt_opps","Calculates total booking amount for closed-lost opportunities in the current reporting context."
"meas.tot_won_amt_opps","Calculates total booking amount for closed-won opportunities in the current reporting context."
"meas.aliasing_label","Helper measure used for internal label, formatting, or visual support behavior."
"meas.aliasing_label_entity_cust_field_1","Helper measure used for internal label, formatting, or visual support behavior."
"meas.aliasing_labels_cust_field","Helper measure used for internal label, formatting, or visual support behavior."
"meas.bucket_num","Helper measure used for internal label, formatting, or visual support behavior."
"meas.count_greater_than_thresh","Helper measure used to filter out very small cohorts below a minimum size threshold in lead-generation analysis."
"meas.pipeline_amt","Summarizes pipeline amount."
"meas.stkhlds_primary_last_act","Redundant measure - slated for depreciation."
"meas.stkhlds_secondary_last_act","Redundant measure - slated for depreciation."
"meas.test_done.average_duration_hrs","Returns the average test done.average duration hours."
"meas.ssr_history_all_social_media_engagement_rate-test","Calculates all social media engagement rate-test in the current reporting context."
"meas.ssr_history_all_meeting_avg_eng_count","Returns the average all meeting average eng count."
"meas.ssr_history_all_social_media_avg_eng_count","Calculates all social media average eng count in the current reporting context."
"meas.ssr_history_all_phone_call_avg_eng_count","Calculates all phone call average eng count in the current reporting context."
"meas.ssr_history_all_email_avg_eng_count","Calculates all email average eng count in the current reporting context."
"meas.ssr_history_all_activity_avg_count","Returns the average all activity average count."
"meas.ssr_history_all_activity_avg_eng_count","Calculates all activity average eng count in the current reporting context."
"meas.ssr_history_mgmt_rpt_next_step_bucket","Helper measure used for internal calculations, dynamic formatting, or visual behavior."
"meas.total_opps_count","Calculates total opportunities count in the current reporting context."
"meas.total_won_opps","Calculates total won opportunities in the current reporting context."
"meas.total_opps_won_amt","Calculates total opportunities won amount in the current reporting context."
"meas.opps_average_won_amt","Calculates average won amount in the current reporting context."
"meas.ssr_history_count_sys_doc_id","Calculates the number of count sys doc id."
"meas.adj_dur_confidence","Returns the confidence score for adjusted duration estimates used in opportunity progression analysis."
"meas.adj_dur_confidence_status_number","Returns the categorical status number derived from adjusted duration confidence scoring."
"meas.ssr_history_unsuccessful_count","Calculates unsuccessful count in the current reporting context."
"meas.ssr_history_dur_hrs","Calculates duration hours in the current reporting context."
"meas.ssr_history_step_post_sales_count","Calculates the number of step post sales count where step is Post-Sales Support."
"meas.ssr_history_sel_date_count","Calculates the number of sel date count."
"meas.ssr_history_sel_date_count2","Calculates the number of sel date count2."
"meas.ssr_history_sel_date_most_recent_start_date","Calculates the number of sel date most recent start date."
"meas.ssr_history_sel_date_pipeline_generated","Calculates the number of sel date pipeline generated."
"meas.ssr_history_mgmt_rpt_leads_gen_count","Calculates the number of management rpt leads generation count where step is Lead Gen."
"meas.ssr_history_avg_act_capt_lvl","Calculates average act capt lvl in the current reporting context."
"meas.ssr_history_sales_engineer_success_prob_avg","Calculates sales engineer success probability average in the current reporting context."
"meas.ssr_history_not_sales_engineer_success_prob_avg","Calculates not sales engineer success probability average in the current reporting context."
"meas.ssr_history_mgmt_rpt_leads_gen_conv_rate","Returns the average management rpt leads generation conv rate where step is Prospecting."
"meas.ssr_history_avg_next_steps_prob","Calculates average next steps probability in the current reporting context."
"meas.ssr_history_target_acct_count","Returns target account count."
"meas.ssr_history_success_prob_leadgen_conversion_rate","Calculates success probability leadgen conversion rate in the current reporting context."
"meas.ssr_history_mkt_leads_touched","Calculates mkt leads touched in the current reporting context."
"meas.ssr_history_generated_pipeline_amt","Calculates generated pipeline amount in the current reporting context."
"meas.ssr_history_won_amt_diff","Returns won amount difference."
"meas.ssr_history_won_count","Calculates won count in the current reporting context."
"meas.ssr_history_won_count_diff","Returns won count difference."
"meas.ssr_history_avg_won_amt_diff","Returns average won amount difference."
"meas.ssr_history_avg_won_cycle_days","Calculates average won cycle days in the current reporting context."
"meas.ssr_history_avg_won_cycles_days_diff","Returns average won cycles days difference."
"meas.ssr_history_win_rate_diff","Returns win rate difference."
"meas.ssr_history_win_rate","Calculates win rate in the current reporting context."
"meas.ssr_history_avg_pushed_pulled_days","Calculates average pushed pulled days in the current reporting context."
"meas.ssr_history_avg_pushed_pulled_days_diff","Returns average pushed pulled days difference."
"meas.ssr_history_avg_initial_actual_booking_diff_amt","Calculates average initial actual booking difference amount in the current reporting context."
"meas.ssr_history_avg_initial_actual_amt_diff","Returns average initial actual amount difference."
"meas.users_overview_avg_pred_conv_rate","Calculates users overview average pred conv rate in the current reporting context."
"meas.ssr_history_mgmt_rpt_avg_won_amt_per_rep","Returns management rpt average won amount per rep where step is New Logo Selling or Existing Customer Selling, successful records."
"meas.users_overview_win_rate","Returns users overview win rate where step is Existing Customer Selling or New Logo Selling, successful records."
"meas.ssr_history_mgmt_pipeline_amt_diff","Returns management pipeline amount difference."
"meas.ssr_history_mgmt_pipeline_amt","Summarizes management pipeline amount where step is Prospecting or Post-Sales Support, successful records."
"meas.users_overview_avg_pred_conv_rate_diff","Returns users overview average pred conv rate difference."
"meas.ssr_history_mgmt_avg_won_amt_per_rep_diff","Returns management average won amount per rep difference."
"meas.users_overview_win_rate_diff","Returns users overview win rate difference."
"meas.ssr_history_mgmt_leads_gen_count","Calculates the number of management leads generation count where step is Lead Gen."
"meas.ssr_history_mgmt_leads_gen_time","Returns the average management leads generation time where step is Lead Gen."
"meas.ssr_history_mgmt_leads_gen_conv_rate","Returns the average management leads generation conv rate where step is Lead Gen, step Prospecting."
"meas.ssr_history_mgmt_leads_gen_count_diff","Returns management leads generation count difference."
"meas.ssr_history_mgmt_leads_gen_time_diff","Returns management leads generation time difference."
"meas.ssr_history_mgmt_leads_gen_conv_rate_diff","Returns management leads generation conv rate difference."
"meas.ssr_history_mgmt_pipeline_count","Returns management pipeline count where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_pipeline_avg_amt","Returns the average management pipeline average amount where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_pipeline_avg_win_prob","Returns the average management pipeline average win probability where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_mgmt_expected_win_amt","Returns management expected win amount where step is Prospecting or Post-Sales Support, successful records."
"meas.ssr_history_generated_pipeline_amt_diff","Returns generated pipeline amount difference."
"meas.ssr_history_mgmt_pipeline_count_diff","Returns management pipeline count difference."
"meas.ssr_history_mgmt_pipeline_avg_amt_diff","Returns management pipeline average amount difference."
"meas.ssr_history_mgmt_pipeline_avg_win_prob_diff","Returns management pipeline average win probability difference."
"meas.ssr_history_mgmt_expected_win_amt_diff","Returns management expected win amount difference."
"meas.ssr_history_new_logo_existing_customer_pipeline_amt","Summarizes new logo existing customer pipeline amount where step is Prospecting, step Post-Sales Support."
"meas.ssr_history_first_touched_days","Returns first touched days."
"meas.ssr_history_cal_end_sel_date_count","Calculates the number of cal end sel date count."
"meas.ssr_total_open_leads_count","Calculates the number of ssr total open leads count."
"meas.ssr_history_target_screen_step_outcome","Calculates target screen step outcome in the current reporting context."
"meas.ssr_total_untouched_leads_count","Calculates ssr total untouched leads count in the current reporting context."
"meas.ssr_history_owner_full_name","Calculates owner full name in the current reporting context."
"meas.ssr_history_owner_group","Calculates owner group in the current reporting context."
"meas.ssr_open_leads_accts_name","Calculates ssr open leads accounts name in the current reporting context."
"meas.ssr_open_leads_accts_added_date","Calculates ssr open leads accounts added date in the current reporting context."
"meas.ssr_open_leads_accts_first_touch_date","Calculates ssr open leads accounts first touch date in the current reporting context."
"meas.ssr_history_open_leads_accts_stkhlds_contact_count","Calculates open leads accounts stakeholders contact count in the current reporting context."
"meas.ssr_open_trueai_industry","Calculates ssr open trueai industry in the current reporting context."
"meas.ssr_open_lead_crm_leadsource","Calculates ssr open lead crm leadsource in the current reporting context."
"meas.ssr_history_open_leads_accts_propensity_tier","Calculates open-lead account count by propensity tier within the current reporting context."
"meas.ssr_history_open_leads_accts_stkhlds_act_count","Calculates open leads accounts stakeholders act count in the current reporting context."
"meas.ssr_open_leads_count","Calculates the number of ssr open leads count."
"meas.ssr_history_open_lead_accts_last_act","Calculates open lead accounts last act in the current reporting context."
"meas.ssr_history_open_leads_accts_total_dur","Calculates open leads accounts total duration in the current reporting context."
"meas.ssr_history_open_leads_accts_engagement_rate","Calculates open leads accounts engagement rate in the current reporting context."
"meas.ssr_open_leads_accts_potential_acv","Returns ssr open leads accounts potential acv."
"meas.step_outcome","Returns step outcome."
"meas.ssr_total_ignored_leads_count","Calculates ssr total ignored leads count in the current reporting context."
"meas.ssr_total_abandoned_leads_count","Calculates ssr total abandoned leads count in the current reporting context."
"meas.ssr_open_leads_avg_prediction_conv_rate","Calculates the number of ssr open leads average prediction conv rate."
"meas.filter_cal_start_dates_with_end_date","Calculates filter cal start dates with end date in the current reporting context."
"meas.ssr_history_sel_date_count3","Calculates the number of sel date count3."
"meas.ssr_history_sel_date_card_count","Returns sel date card count."
"meas.ssr_history_leads_accts_engagement_rate","Returns leads accounts engagement rate."
"meas.ssr_history_sel_date_count4","Calculates the number of sel date count4."
"meas.ssr_leads_time_to_touch_days","Calculates ssr leads time to touch days in the current reporting context."
"meas.open_leads_tbl_title","Helper measure used for internal label, formatting, or visual support behavior."
"meas.ssr_first_touch_date","Returns ssr first touch date."
"meas.ssr_history_top_250_leads","Returns top 250 leads."
"meas.stkhlds_all_last_act_days","Calculates stakeholders all last act days in the current reporting context."
"meas.ssr_history_mgmt_rpt_won_amt_mtd","Returns management rpt won amount month-to-date where step is New Logo Selling or Existing Customer Selling, successful records."
"meas.ssr_history_mgmt_rpt_won_amt_mtd_sply","Returns management rpt won amount month-to-date same period last year where step is New Logo Selling or Existing Customer Selling, successful records."
"meas.ssr_history_mgmt_rpt_won_amt_mtd_sply_diff","Returns management rpt won amount month-to-date same period last year difference."
"meas.ssr_history_mgmt_rpt_won_amt_qtd","Returns management rpt won amount quarter-to-date where step is New Logo Selling or Existing Customer Selling, successful records."
"meas.ssr_history_mgmt_rpt_won_amt_qtd_sply","Returns management rpt won amount quarter-to-date same period last year where step is New Logo Selling or Existing Customer Selling, successful records."
