"measure","current_purpose","expression_sample","replacement_description"
"meas.calc_hyp10_kpi1_denominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp10 kpi1 denominator count within the current reporting context."
"meas.calc_hyp10_kpi2_nominator_count","Returns a value derived from ssr_history[step_name] and ssr_history[opp_sale_type].","var rep_tbl =  CALCULATETABLE(","Calculates calc hyp10 kpi2 nominator count within the current reporting context."
"meas.calc_hyp11_kpi1_nominator_count","Returns a value derived from ssr_history[step_name].","var filter_tbl = CALCULATETABLE(","Calculates calc hyp11 kpi1 nominator count within the current reporting context."
"meas.calc_hyp11_kpi2_nominator_count","Returns a value derived from ssr_history[step_name].","var rep_tbl = CALCULATETABLE(","Calculates calc hyp11 kpi2 nominator count within the current reporting context."
"meas.calc_hyp12_kpi1_denominator_count","Returns a value derived from ssr_history[_sys_doc_id] and ssr_history[step_name].","CALCULATE(","Calculates calc hyp12 kpi1 denominator count within the current reporting context."
"meas.calc_hyp12_kpi2_denominator_count","Returns a value derived from ssr[_sys_filt_start_date] and ssr[trueai_first_purchase].","var _min_date =  MAX(date(2000,01,01) ,  min(ssr[_sys_filt_start_date]))            // get the coid min date","Calculates calc hyp12 kpi2 denominator count within the current reporting context."
"meas.calc_hyp13_kpi1_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr[trueai_first_purchase].","CALCULATE(","Calculates calc hyp13 kpi1 nominator count within the current reporting context."
"meas.calc_hyp13_kpi2_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr[trueai_first_purchase].","CALCULATE(","Calculates calc hyp13 kpi2 nominator count within the current reporting context."
"meas.calc_hyp14_kpi1_nominator_count","Returns a value derived from users_history[_sys_user_id] and users_history[trueai_user_role_function].","var res = CALCULATE(","Calculates calc hyp14 kpi1 nominator count within the current reporting context."
"meas.calc_hyp15_kpi1_denominator_count","Returns a value derived from users_history[_sys_filt_start_date] and users_history[trueai_user_role_function].","var fromDate =[meas.context_date_min]","Calculates calc hyp15 kpi1 denominator count within the current reporting context."
"meas.calc_hyp16_kpi1_denominator_count","Returns the measure value from its DAX expression.","var _current = [meas.calc_hyp16_kpi1_nominator]             // get current year count","Calculates calc hyp16 kpi1 denominator count within the current reporting context."
"meas.calc_hyp16_kpi2_denominator_count","Returns the measure value from its DAX expression.","var _current = [meas.calc_hyp16_kpi2_nominator]         // get the current year count","Calculates calc hyp16 kpi2 denominator count within the current reporting context."
"meas.calc_hyp17_kpi1_denominator_count","Returns a value derived from ssr_history[step_name] and cal_end_dates[Date].","var filter_tbl =  CALCULATETABLE(","Calculates calc hyp17 kpi1 denominator count within the current reporting context."
"meas.calc_hyp18_kpi1_nominator_count","Returns a value derived from ssr_history[step_name].","var filter_tbl =  CALCULATETABLE(","Calculates calc hyp18 kpi1 nominator count within the current reporting context."
"meas.calc_hyp2_kpi1_nominator_count","Returns the measure value from its DAX expression.","var contact_ai = CALCULATETABLE(","Calculates calc hyp2 kpi1 nominator count within the current reporting context."
"meas.calc_hyp2_kpi2_nominator_count","Returns a value derived from opps row count in current context.","var contact_ai = CALCULATETABLE(opps)","Calculates calc hyp2 kpi2 nominator count within the current reporting context."
"meas.calc_hyp3_kpi1_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_outcome].","var _max_date = [meas.context_date_max]","Calculates calc hyp3 kpi1 nominator count within the current reporting context."
"meas.calc_hyp4_kpi1_nominator_count","Returns a value derived from ssr_history[step_name] and ssr[col.trueai_leadsource_is_inbound].","var lead_gen_tbl = CALCULATETABLE(","Calculates calc hyp4 kpi1 nominator count within the current reporting context."
"meas.calc_hyp5_kpi1_nominator_count","Returns a value derived from cal_end_dates[Date] and ssr[_sys_doc_id].","var start_date = [meas.filter_date_min]","Calculates calc hyp5 kpi1 nominator count within the current reporting context."
"meas.calc_hyp6_kpi1_denominator_count","Returns a value derived from ssr_history[step_outcome] and ssr_history[opp_lost_stage].","var filt_tbl = CALCULATETABLE(","Calculates calc hyp6 kpi1 denominator count within the current reporting context."
"meas.calc_hyp6_kpi2_denominator_count","Returns a value derived from ssr_history[step_name].","var rep_tbl = CALCULATETABLE(","Calculates calc hyp6 kpi2 denominator count within the current reporting context."
"meas.calc_hyp7_kpi1_denominator_count","Returns a value derived from ssr_history[step_outcome] and ssr_history[step_name].","// CALCULATE(","Calculates calc hyp7 kpi1 denominator count within the current reporting context."
"meas.calc_hyp8_kpi1_denominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp8 kpi1 denominator count within the current reporting context."
"meas.calc_hyp8_kpi2_nominator_count","Returns a value derived from ssr_history[opp_sale_type].","var rep_tbl =  CALCULATETABLE(","Calculates calc hyp8 kpi2 nominator count within the current reporting context."
"meas.calc_hyp9_kpi1_denominator_count","Returns a value derived from cal_end_dates[Date] and ssr_history[step_name].","var current_year = CALCULATE(YEAR([meas.context_date_max]))            // get the current year","Calculates calc hyp9 kpi1 denominator count within the current reporting context."
"meas.calc_hyp9_kpi2_nominator_count","Returns a value derived from ssr_history[opp_sale_type].","var rep_tbl =  CALCULATETABLE(","Calculates calc hyp9 kpi2 nominator count within the current reporting context."
"meas.heatmap_combined_record_count_flag","Returns the measure value from its DAX expression.","var kpi1_flag = [meas.heatmap_kpi1_record_count_flag]           // kpi1 flag","Calculates heatmap combined record count flag within the current reporting context."
"meas.heatmap_kpi1_min_record_count","Returns a value derived from metadata_heatmap_items[col.kpi1_min_count].","MAX(metadata_heatmap_items[col.kpi1_min_count])","Calculates heatmap kpi1 min record count within the current reporting context."
"meas.heatmap_kpi1_min_record_factor_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_min_factor].","MAX(metadata_heatmap_items[heatmap_kpi1_min_factor])","Calculates heatmap kpi1 min record factor name within the current reporting context."
"meas.heatmap_kpi1_record_count","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Calculates heatmap kpi1 record count within the current reporting context."
"meas.heatmap_kpi1_record_count_flag","Returns the measure value from its DAX expression.","var _min_count = [meas.heatmap_kpi1_min_record_count]           // min record count","Calculates heatmap kpi1 record count flag within the current reporting context."
"meas.heatmap_kpi2_min_record_count","Returns a value derived from metadata_heatmap_items[col.kpi2_min_count] and metadata_heatmap_items[heatmap_kpi2_def_short].","var _min_count = MAX(metadata_heatmap_items[col.kpi2_min_count])","Calculates heatmap kpi2 min record count within the current reporting context."
"meas.heatmap_kpi2_min_record_factor_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_min_factor].","MAX(metadata_heatmap_items[heatmap_kpi2_min_factor])","Calculates heatmap kpi2 min record factor name within the current reporting context."
"meas.heatmap_kpi2_record_count","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var hyp_id = MAX(metadata_heatmap_items[_sys_doc_id])               // get the current hypothesis id","Calculates heatmap kpi2 record count within the current reporting context."
"meas.heatmap_kpi2_record_count_flag","Returns the measure value from its DAX expression.","var _min_count = [meas.heatmap_kpi2_min_record_count]           // min record count","Calculates heatmap kpi2 record count flag within the current reporting context."
"meas.heatmap_details_ai_model_score_validation","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details ai model score validation within the current reporting context."
"meas.heatmap_details_description","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_description].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details description within the current reporting context."
"meas.heatmap_details_getKPI1_denominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI1 denominator value within the current reporting context."
"meas.heatmap_details_getKPI1_nominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI1 nominator value within the current reporting context."
"meas.heatmap_details_getKPI1_Score_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI1 Score value within the current reporting context."
"meas.heatmap_details_getKPI1_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI1 value within the current reporting context."
"meas.heatmap_details_getKPI2_denominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI2 denominator value within the current reporting context."
"meas.heatmap_details_getKPI2_nominator_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI2 nominator value within the current reporting context."
"meas.heatmap_details_getKPI2_Score_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI2 Score value within the current reporting context."
"meas.heatmap_details_getKPI2_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details getKPI2 value within the current reporting context."
"meas.heatmap_details_growth_category","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_growth_category].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details growth category within the current reporting context."
"meas.heatmap_details_growth_category_base64","Returns a value derived from heatmap_graphics[_sys_base64] and heatmap_graphics[category].","var _category_name = [meas.heatmap_details_growth_category]      // get the growth category name","Calculates heatmap details growth category base64 within the current reporting context."
"meas.heatmap_details_growth_category_hypo_name","Returns the measure value from its DAX expression.","var _category = [meas.heatmap_details_growth_category]      // get the growth category name","Calculates heatmap details growth category hypo name within the current reporting context."
"meas.heatmap_details_hypothesis_confirmed","Returns the measure value from its DAX expression.","var _score = [meas.hypothesis_is_confirmed]         // get the is_confirmed status","Calculates heatmap details hypothesis confirmed within the current reporting context."
"meas.heatmap_details_hypothesis_id","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details hypothesis id within the current reporting context."
"meas.heatmap_details_kpi_report_location","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_ref].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi report location within the current reporting context."
"meas.heatmap_details_kpi_screen","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi_screen].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi screen within the current reporting context."
"meas.heatmap_details_kpi1_ai_score_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi1_ai_score_name].","var _name = MAX(metadata_heatmap_items[heatmap_kpi1_ai_score_name])","Calculates heatmap details kpi1 ai score name within the current reporting context."
"meas.heatmap_details_kpi1_calculation","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 calculation within the current reporting context."
"meas.heatmap_details_kpi1_def_short","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_def_short].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 def short within the current reporting context."
"meas.heatmap_details_kpi1_denominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_denominator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 denominator def within the current reporting context."
"meas.heatmap_details_kpi1_long_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_def_long].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 long def within the current reporting context."
"meas.heatmap_details_kpi1_max_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi1_max].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 max value within the current reporting context."
"meas.heatmap_details_kpi1_min_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi1_min].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 min value within the current reporting context."
"meas.heatmap_details_kpi1_nominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_numerator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 nominator def within the current reporting context."
"meas.heatmap_details_kpi1_reference_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi1_ref_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 reference value within the current reporting context."
"meas.heatmap_details_kpi1_score_calculation","Returns the measure value from its DAX expression.","var _ref_value = [meas.trueai_kpi1_ref_value]                       // get the ref value","Calculates heatmap details kpi1 score calculation within the current reporting context."
"meas.heatmap_details_kpi1_score_trend_calculation","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI1_score_cy]           // cy kpi 1 score","Calculates heatmap details kpi1 score trend calculation within the current reporting context."
"meas.heatmap_details_kpi1_standard_dev_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi1_std_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 standard dev value within the current reporting context."
"meas.heatmap_details_kpi1_value_trend","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI1_value_cy]                // get the current trend for kpi1","Calculates heatmap details kpi1 value trend within the current reporting context."
"meas.heatmap_details_kpi1_weight_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_weight].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 weight value within the current reporting context."
"meas.heatmap_details_kpi1_whats_better","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi1_whats_better].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi1 whats better within the current reporting context."
"meas.heatmap_details_kpi2_ai_score_name","Returns a value derived from metadata_heatmap_items[heatmap_kpi2_ai_score_name].","var _name = MAX(metadata_heatmap_items[heatmap_kpi2_ai_score_name])","Calculates heatmap details kpi2 ai score name within the current reporting context."
"meas.heatmap_details_kpi2_calculation","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 calculation within the current reporting context."
"meas.heatmap_details_kpi2_def_short","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_def_short].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 def short within the current reporting context."
"meas.heatmap_details_kpi2_denominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_denominator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 denominator def within the current reporting context."
"meas.heatmap_details_kpi2_long_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_def_long].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 long def within the current reporting context."
"meas.heatmap_details_kpi2_max_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi2_max].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 max value within the current reporting context."
"meas.heatmap_details_kpi2_min_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.trueai_kpi2_min].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 min value within the current reporting context."
"meas.heatmap_details_kpi2_nominator_def","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_numerator_definition].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 nominator def within the current reporting context."
"meas.heatmap_details_kpi2_reference_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi2_ref_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 reference value within the current reporting context."
"meas.heatmap_details_kpi2_score_calculation","Returns the measure value from its DAX expression.","var _ref_value = IF([meas.trueai_kpi2_ref_value]=BLANK(), ""--"", [meas.trueai_kpi2_ref_value])                       // get the ref value","Returns heatmap details kpi2 score calculation within the current reporting context."
"meas.heatmap_details_kpi2_score_trend_calculation","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI2_score_cy]           // cy kpi 2 score","Calculates heatmap details kpi2 score trend calculation within the current reporting context."
"meas.heatmap_details_kpi2_standard_dev_value","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[col.kpi2_std_value].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 standard dev value within the current reporting context."
"meas.heatmap_details_kpi2_value_trend","Returns the measure value from its DAX expression.","var _cy = [meas.getKPI2_value_cy]                // get the current trend for kpi2","Calculates heatmap details kpi2 value trend within the current reporting context."
"meas.heatmap_details_kpi2_weight_value","Returns the measure value from its DAX expression.","var _weight = [meas.getKPI2Weight]","Calculates heatmap details kpi2 weight value within the current reporting context."
"meas.heatmap_details_kpi2_whats_better","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_kpi2_whats_better].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details kpi2 whats better within the current reporting context."
"meas.heatmap_details_name","Returns a value derived from metadata_heatmap_items[_sys_doc_id] and metadata_heatmap_items[heatmap_name].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details name within the current reporting context."
"meas.heatmap_details_score","Returns a value derived from metadata_heatmap_items[_sys_doc_id].","var h_id = SELECTEDVALUE(metadata_heatmap_items[_sys_doc_id])            // get the selected  hypothesis id","Returns heatmap details score within the current reporting context."
"meas.heatmap_details_score_new","Returns the measure value from its DAX expression.","VAR _flag = [meas.heatmap_combined_record_count_flag]           // get the flag","Calculates heatmap details score new within the current reporting context."
"meas.heatmap_details_score_w_na_nd","Returns the measure value from its DAX expression.","VAR _flag = [meas.heatmap_combined_record_count_flag]           // get the flag","Calculates heatmap details score w na nd within the current reporting context."
"meas.hypothesis_is_confirmed_details","Returns the measure value from its DAX expression.","VAR _score = [meas.getHeatmapScore]         // Get the heatmap score","Calculates hypothesis is confirmed details within the current reporting context."
"meas.trueai_kpi1_max","Returns a value derived from metadata_heatmap_items[col.kpi1_ref_value] and metadata_heatmap_items[col.kpi1_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi1_ref_value])         // get the ref","Calculates trueai kpi1 max within the current reporting context."
"meas.trueai_kpi1_min","Returns a value derived from metadata_heatmap_items[col.kpi1_ref_value] and metadata_heatmap_items[col.kpi1_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi1_ref_value])          // get the ref","Calculates trueai kpi1 min within the current reporting context."
"meas.trueai_kpi1_ref_value","Returns a value derived from metadata_heatmap_items[col.kpi1_ref_value].","MAX(metadata_heatmap_items[col.kpi1_ref_value])","Calculates trueai kpi1 ref value within the current reporting context."
"meas.trueai_kpi1_sd","Returns a value derived from metadata_heatmap_items[col.kpi1_std_value].","MAX(metadata_heatmap_items[col.kpi1_std_value])","Calculates trueai kpi1 sd within the current reporting context."
"meas.trueai_kpi2_max","Returns a value derived from metadata_heatmap_items[col.kpi2_ref_value] and metadata_heatmap_items[col.kpi2_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi2_ref_value])          // get the ref","Calculates trueai kpi2 max within the current reporting context."
"meas.trueai_kpi2_min","Returns a value derived from metadata_heatmap_items[col.kpi2_ref_value] and metadata_heatmap_items[col.kpi2_std_value].","var _ref = MAX(metadata_heatmap_items[col.kpi2_ref_value])          // get the ref","Calculates trueai kpi2 min within the current reporting context."
"meas.trueai_kpi2_ref_value","Returns a value derived from metadata_heatmap_items[col.kpi2_ref_value].","MAX(metadata_heatmap_items[col.kpi2_ref_value])","Calculates trueai kpi2 ref value within the current reporting context."
"meas.trueai_kpi2_sd","Returns a value derived from metadata_heatmap_items[col.kpi2_std_value].","MAX(metadata_heatmap_items[col.kpi2_std_value])","Calculates trueai kpi2 sd within the current reporting context."
"meas.get_category_base64","Returns a value derived from heatmap_graphics[_sys_base64] and heatmap_graphics[category].","var _category = [meas.get_growth_category]      // get the growth category from heatmap","Calculates get category base64 within the current reporting context."
"meas.get_growth_category","Returns a value derived from metadata_heatmap_items[heatmap_growth_category].","CALCULATE(MAX(metadata_heatmap_items[heatmap_growth_category]))","Calculates get growth category within the current reporting context."
"meas.heatmap_details_score_used_analysis","Returns the measure value from its DAX expression.","var _score = [meas.heatmap_details_score_new]               // get the score","Calculates heatmap details score used analysis within the current reporting context."
"meas.stakeholder_num_flag","","var stakeholder_info = CALCULATE(","Calculates stakeholder num flag within the current reporting context."
